#size time
452 6.67367367367 
542 8.89089089089 
651 9.01701701702 
781 8.90890890891 
938 10.5265265265 
1125 8.52752752753 
1351 11.5935935936 
1621 8.98598598599 
1945 12.7217217217 
2334 15.9359359359 
2801 16.967967968 
3361 18.1781781782 
4034 17.4534534535 
4840 22.4034034034 
5809 19.7707707708 
6970 22.5055055055 
8365 28.015015015 
10038 33.4364364364 
12045 38.4454454454 
14454 41.9129129129 
17345 51.1911911912 
20815 59.9269269269 
24978 59.0600600601 
29973 63.0950950951 
35968 65.4134134134 
43162 67.4804804805 
51794 71.5295295295 
62153 74.6116116116 
74584 77.4804804805 
89500 78.7067067067 
107400 81.7167167167 
128881 83.8978978979 
154657 85.3033033033 
185588 86.5355355355 
222706 87.991991992 
267247 88.5585585586 
320697 89.5555555556 
384837 90.6606606607 
461804 91.3983983984 
